review,label
I’m satisfied with my purchase.,0
Worst purchase ever. Not genuine.,1
False advertising. Fake fake fake.,1
Fast delivery and good quality.,0
High quality and works perfectly.,0
"Awful, this is just a scam.",1
Very helpful and exactly as described.,0
This is a fake review for a fake product.,1
This is a fake review for a fake product.,1
I would definitely recommend this to others.,0
Love it! Will buy again.,0
"Fake product, waste of money.",1
Do not buy! This is a fraud.,1
This product is amazing!,0
Exceeded my expectations.,0
The customer service was excellent.,0
"Awful, this is just a scam.",1
The customer service was excellent.,0
Exceeded my expectations.,0
Great value for the money.,0
False advertising. Fake fake fake.,1
Worst purchase ever. Not genuine.,1
Fast delivery and good quality.,0
"Fake product, waste of money.",1
It broke on the first day. Fake!,1
Fast delivery and good quality.,0
I’m satisfied with my purchase.,0
"Total scam, doesn't work at all.",1
This product is amazing!,0
"Total scam, doesn't work at all.",1
Great value for the money.,0
The customer service was excellent.,0
Exceeded my expectations.,0
Worst purchase ever. Not genuine.,1
I would definitely recommend this to others.,0
The product is fake and misleading.,1
"Awful, this is just a scam.",1
It broke on the first day. Fake!,1
The customer service was excellent.,0
Love it! Will buy again.,0
I’m satisfied with my purchase.,0
"Terrible experience, completely useless.",1
"Total scam, doesn't work at all.",1
Very helpful and exactly as described.,0
"Fake product, waste of money.",1
Love it! Will buy again.,0
I’m satisfied with my purchase.,0
Fast delivery and good quality.,0
"Fake product, waste of money.",1
False advertising. Fake fake fake.,1
"Total scam, doesn't work at all.",1
Love it! Will buy again.,0
The customer service was excellent.,0
Worst purchase ever. Not genuine.,1
"Total scam, doesn't work at all.",1
The product is fake and misleading.,1
Do not buy! This is a fraud.,1
"Awful, this is just a scam.",1
I would definitely recommend this to others.,0
I’m satisfied with my purchase.,0
Love it! Will buy again.,0
"Awful, this is just a scam.",1
This product is amazing!,0
This is a fake review for a fake product.,1
"Total scam, doesn't work at all.",1
High quality and works perfectly.,0
"Fake product, waste of money.",1
High quality and works perfectly.,0
"Fake product, waste of money.",1
It broke on the first day. Fake!,1
I’m satisfied with my purchase.,0
Great value for the money.,0
"Awful, this is just a scam.",1
This product is amazing!,0
The product is fake and misleading.,1
The product is fake and misleading.,1
Fast delivery and good quality.,0
The product is fake and misleading.,1
Worst purchase ever. Not genuine.,1
It broke on the first day. Fake!,1
"Fake product, waste of money.",1
The product is fake and misleading.,1
Worst purchase ever. Not genuine.,1
It broke on the first day. Fake!,1
This is a fake review for a fake product.,1
"Awful, this is just a scam.",1
The product is fake and misleading.,1
"Fake product, waste of money.",1
This is a fake review for a fake product.,1
Exceeded my expectations.,0
Worst purchase ever. Not genuine.,1
Great value for the money.,0
This product is amazing!,0
Love it! Will buy again.,0
"Terrible experience, completely useless.",1
This product is amazing!,0
The product is fake and misleading.,1
This is a fake review for a fake product.,1
This product is amazing!,0
I would definitely recommend this to others.,0
I would definitely recommend this to others.,0
The customer service was excellent.,0
"Fake product, waste of money.",1
Worst purchase ever. Not genuine.,1
Very helpful and exactly as described.,0
This product is amazing!,0
Exceeded my expectations.,0
High quality and works perfectly.,0
Do not buy! This is a fraud.,1
This is a fake review for a fake product.,1
It broke on the first day. Fake!,1
The customer service was excellent.,0
"Fake product, waste of money.",1
"Awful, this is just a scam.",1
Fast delivery and good quality.,0
Great value for the money.,0
"Fake product, waste of money.",1
This product is amazing!,0
This is a fake review for a fake product.,1
Very helpful and exactly as described.,0
"Awful, this is just a scam.",1
High quality and works perfectly.,0
"Total scam, doesn't work at all.",1
Love it! Will buy again.,0
High quality and works perfectly.,0
I would definitely recommend this to others.,0
Do not buy! This is a fraud.,1
"Terrible experience, completely useless.",1
"Fake product, waste of money.",1
False advertising. Fake fake fake.,1
Exceeded my expectations.,0
"Total scam, doesn't work at all.",1
Love it! Will buy again.,0
This product is amazing!,0
"Total scam, doesn't work at all.",1
The customer service was excellent.,0
It broke on the first day. Fake!,1
Fast delivery and good quality.,0
I would definitely recommend this to others.,0
False advertising. Fake fake fake.,1
Do not buy! This is a fraud.,1
Exceeded my expectations.,0
