review,true_label,pred_label
The product is fake and misleading.,1.0,1.0
False advertising. Fake fake fake.,1.0,1.0
"Total scam, doesn't work at all.",1.0,1.0
"Awful, this is just a scam.",1.0,1.0
Fast delivery and good quality.,0.0,1.0
Fast delivery and good quality.,0.0,1.0
Exceeded my expectations.,0.0,1.0
This is a fake review for a fake product.,1.0,1.0
Fast delivery and good quality.,0.0,1.0
"Terrible experience, completely useless.",1.0,1.0
High quality and works perfectly.,0.0,1.0
High quality and works perfectly.,0.0,1.0
High quality and works perfectly.,0.0,1.0
Very helpful and exactly as described.,0.0,1.0
The product is fake and misleading.,1.0,1.0
This product is amazing!,0.0,1.0
Exceeded my expectations.,0.0,1.0
The customer service was excellent.,0.0,1.0
The customer service was excellent.,0.0,1.0
"Fake product, waste of money.",1.0,1.0
Great value for the money.,0.0,1.0
The customer service was excellent.,0.0,1.0
The product is fake and misleading.,1.0,1.0
I would definitely recommend this to others.,0.0,1.0
Do not buy! This is a fraud.,1.0,1.0
"Total scam, doesn't work at all.",1.0,1.0
The product is fake and misleading.,1.0,1.0
"Fake product, waste of money.",1.0,1.0
Fast delivery and good quality.,0.0,1.0
Exceeded my expectations.,0.0,1.0
"Total scam, doesn't work at all.",1.0,1.0
Very helpful and exactly as described.,0.0,1.0
I’m satisfied with my purchase.,0.0,1.0
"Awful, this is just a scam.",1.0,1.0
Do not buy! This is a fraud.,1.0,1.0
Do not buy! This is a fraud.,1.0,1.0
"Fake product, waste of money.",1.0,1.0
Worst purchase ever. Not genuine.,1.0,1.0
"Total scam, doesn't work at all.",1.0,1.0
Very helpful and exactly as described.,0.0,1.0
